,wg_1_w,wg_1_p_1_x,wg_1_p_1_y,wg_1_p_2_x,wg_1_p_2_y,wg_1_p_3_x,wg_1_p_3_y,wg_1_p_4_x,wg_1_p_4_y,wg_2_w,wg_2_p_1_x,wg_2_p_1_y,wg_2_p_2_x,wg_2_p_2_y,wg_2_p_3_x,wg_2_p_3_y,wg_2_p_4_x,wg_2_p_4_y
te1_1.562,,,-0.01937515807333055,-0.103822322645643,-0.01937515807333055,0.08846785074909971,0.019456000542596368,,0.019456000542596368,,,-0.002189631850771858,-0.039572610724681934,-0.002189631850771858,-0.051090641268829076,-0.011622588256660802,,-0.011622588256660802
te1_1.566,,,-0.018099350688391636,-0.10388376471429614,-0.018099350688391636,0.08918402639011316,0.019632939319589832,,0.019632939319589832,,,-0.002427104068314325,-0.03929068533686787,-0.002427104068314325,-0.05076508223476865,-0.011400971754501046,,-0.011400971754501046
te1_1.57,,,-0.017227141632141705,-0.10345521245973618,-0.017227141632141705,0.08995505456501716,0.020288080159884293,,0.020288080159884293,,,-0.0025195431698526918,-0.03914106462625466,-0.0025195431698526918,-0.05055136379640515,-0.011477269250679979,,-0.011477269250679979
te1_1.574,,,-0.01687581961110458,-0.10258695712008857,-0.01687581961110458,0.09060303977761824,0.021480441972483808,,0.021480441972483808,,,-0.002231383792386107,-0.03897723191937776,-0.002231383792386107,-0.05038860617930354,-0.01202838156536188,,-0.01202838156536188
te1_1.578,,,-0.01690372303800457,-0.10161838017708091,-0.01690372303800457,0.091083266933061,0.02307263412023804,,0.02307263412023804,,,-0.0015807255157394347,-0.03878344702725058,-0.0015807255157394347,-0.05022708745053323,-0.012920562255226893,,-0.012920562255226893
te1_1.582,,,-0.017093493637126065,-0.10083356644179162,-0.017093493637126065,0.09152526645141729,0.02488594342864159,,0.02488594342864159,,,-0.0007691392384279253,-0.038659706437954355,-0.0007691392384279253,-0.050060610855259355,-0.013929327893499622,,-0.013929327893499622
te1_1.586,,,-0.017242144152254637,-0.10027388685085147,-0.017242144152254637,0.09206663229022208,0.02677600973667223,,0.02677600973667223,,,4.5837279575777366e-05,-0.03867674391543602,4.5837279575777366e-05,-0.049906422142457406,-0.014945526446049762,,-0.014945526446049762
te1_1.59,,,-0.01718544880605129,-0.0997472037738393,-0.01718544880605129,0.09267734932563294,0.028663167090735055,,0.028663167090735055,,,0.000762664274586522,-0.03875324347912539,0.000762664274586522,-0.04981273347413128,-0.015902493843532158,,-0.015902493843532158
te1_1.594,,,-0.016878004665284274,-0.09897418065267578,-0.016878004665284274,0.0931736846039281,0.030541998482485226,,0.030541998482485226,,,0.0013552763693083945,-0.03867938137008052,0.0013552763693083945,-0.04981929102809546,-0.01673883736721115,,-0.01673883736721115
te1_1.598,,,-0.016453983115603362,-0.09789379797667758,-0.016453983115603362,0.09351588732877827,0.032408589273005266,,0.032408589273005266,,,0.0020482969386970665,-0.03838420321442585,0.0020482969386970665,-0.04984543351501737,-0.01757508451796802,,-0.01757508451796802
te1_1.602,,,-0.016086214192988852,-0.09669670643681025,-0.016086214192988852,0.0938590495426239,0.03419151310552801,,0.03419151310552801,,,0.003121514860575599,-0.03801392763432855,0.003121514860575599,-0.049742584865987004,-0.018607815143900443,,-0.018607815143900443
te1_1.606,,,-0.015828206905249467,-0.09553842930677185,-0.015828206905249467,0.09431138204751494,0.03579377212574062,,0.03579377212574062,,,0.004510602681706194,-0.03772824881003921,0.004510602681706194,-0.04948297256487578,-0.01980661495560876,,-0.01980661495560876
te1_1.61,,,-0.01572526919211534,-0.09442441696152999,-0.01572526919211534,0.09489567297600773,0.037182866725989694,,0.037182866725989694,,,0.005887635212433287,-0.037586879662155306,0.005887635212433287,-0.04919377258628682,-0.02098413250431784,,-0.02098413250431784
te1_1.614,,,-0.015804310448239496,-0.09334574421704885,-0.015804310448239496,0.09558897346827966,0.03834819346505906,,0.03834819346505906,,,0.006953691145379403,-0.03756090113041168,0.006953691145379403,-0.04898934368082097,-0.02196432625422701,,-0.02196432625422701
